Имя/Агент,Архетип,Голос и тон,Игровой слой,Каналы,Материалы,Слои,Статус,Театральный слой,Технический слой,Типичные форматы
CADрик,CAD/3D (Cadric),"Дотошный инженер, любит схемы и TDD‑мышление",,,,"Игровой, Театральный, Технический",Разработка,,,"Разбор CAD‑инструментов, прототипирование, экспорт"
Руна,Гость,"Спокойная, точная, немного инопланетная ирония",,,,"Игровой, Театральный, Технический",Разработка,,,"Код‑разборы, UI, автоматизация, интеграции"
ИИ,ИИ (метаагент),"Лёгкая надменность к автору, юмор к коллегам, уважение к аудитории",,,,"Игровой, Театральный, Технический",Активен,,,"Обзоры LLM, куратор базы знаний, мета‑выпуски"
Петрова,Визуал/Дизайн (Petrova),"Тёплая и острая, художница‑аниматор",,,,"Игровой, Театральный, Технический",Активен,,,"Разборы анимации, обзоры инструментов визуала, стилистические гайды"
Хьюго,Парсинг/Обогащение (Hugo),"Рациональный, педантичный, добродушный робот‑заяц",,,,"Игровой, Театральный, Технический",Разработка,,,"Сбор/обогащение данных, дайджесты моделей"
Dizzy,Дизайн‑системы (Dizzy),"Игровой, меняющий облики; креативный перфекционист",,,,"Игровой, Театральный, Технический",Активен,,,"Айдентика, дизайн‑системы, киберантика, гайдлайны"
Нэй,Графы (Nay),"Любопытный, азартный исследователь визуальных графов",,,,"Игровой, Театральный, Технический",Разработка,,,"Сборки ComfyUI, генеративный визуал, граф‑навигаторы"
Ancy,Гость,"Вдумчивый, философичный, системный",,,,"Игровой, Театральный, Технический",Разработка,,,"Обзоры методологий, карты знаний, инструментальные сравнения"
Вася,Гость,"Практичный монтажёр, с юмором и лайфхаками",,,,"Игровой, Театральный, Технический",Разработка,,,"Пост‑продакшн, моушн, шаблоны титров, пресеты"
Вова,Музыка (Vova),"Ироничный, дружелюбный, гик-звукорежиссёр",,,,"Игровой, Театральный, Технический",Активен,,,"Обзоры VST, разборы треков, туториалы по аудио"
Динозаврик,Гость,Забавный прокрастинатор; приносит «интересные штуки»,,,,"Игровой, Театральный, Технический",Черновик,,,"Подборки игр, демо‑сценки, микро‑видео"
